PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Emb,sClass
2,1,1,38,1,0,71.2833,1,1
4,1,1,35,1,0,53.1,1,1
5,0,3,35,0,0,8.05,0,1
6,0,3,,0,0,8.4583,0,1
7,0,1,54,0,0,51.8625,0,1
9,1,3,27,0,2,11.1333,1,1
11,1,3,4,1,1,16.7,1,1
12,1,1,58,0,0,26.55,1,1
13,0,3,20,0,0,8.05,0,1
14,0,3,39,1,5,31.275,0,1
15,0,3,14,0,0,7.8542,1,1
18,1,2,,0,0,13,0,1
19,0,3,31,1,0,18,1,1
20,1,3,,0,0,7.225,1,1
21,0,2,35,0,0,26,0,1
22,1,2,34,0,0,13,0,1
24,1,1,28,0,0,35.5,0,1
25,0,3,8,3,1,21.075,1,1
26,1,3,38,1,5,31.3875,1,1
27,0,3,,0,0,7.225,0,1
28,0,1,19,3,2,263,0,1
29,1,3,,0,0,7.8792,1,1
30,0,3,,0,0,7.8958,0,1
31,0,1,40,0,0,27.7208,0,0
32,1,1,,1,0,146.5208,1,1
35,0,1,28,1,0,82.1708,0,1
41,0,3,40,1,0,9.475,1,1
43,0,3,,0,0,7.8958,0,1
45,1,3,19,0,0,7.8792,1,1
46,0,3,,0,0,8.05,0,1
48,1,3,,0,0,7.75,1,0
49,0,3,,2,0,21.6792,0,1
50,0,3,18,1,0,17.8,1,1
53,1,1,49,1,0,76.7292,1,1
54,1,2,29,1,0,26,1,1
55,0,1,65,0,1,61.9792,0,1
56,1,1,,0,0,35.5,0,1
57,1,2,21,0,0,10.5,1,1
58,0,3,28.5,0,0,7.2292,0,1
59,1,2,5,1,2,27.75,1,1
60,0,3,11,5,2,46.9,0,0
61,0,3,22,0,0,7.2292,0,1
62,1,1,38,0,0,80,1,1
63,0,1,45,1,0,83.475,0,1
66,1,3,,1,1,15.2458,0,0
68,0,3,19,0,0,8.1583,0,1
69,1,3,17,4,2,7.925,1,1
70,0,3,26,2,0,8.6625,0,1
71,0,2,32,0,0,10.5,0,1
72,0,3,16,5,2,46.9,1,1
75,1,3,32,0,0,56.4958,0,1
76,0,3,25,0,0,7.65,0,1
77,0,3,,0,0,7.8958,0,1
79,1,2,0.83,0,2,29,0,0
80,1,3,30,0,0,12.475,1,1
81,0,3,22,0,0,9,0,1
82,1,3,29,0,0,9.5,0,1
83,1,3,,0,0,7.7875,1,1
85,1,2,17,0,0,10.5,1,1
86,1,3,33,3,0,15.85,1,1
87,0,3,16,1,3,34.375,0,1
88,0,3,,0,0,8.05,0,1
89,1,1,23,3,2,263,1,1
90,0,3,24,0,0,8.05,0,1
91,0,3,29,0,0,8.05,0,1
93,0,1,46,1,0,61.175,0,1
94,0,3,26,1,2,20.575,0,1
97,0,1,71,0,0,34.6542,0,1
98,1,1,23,0,1,63.3583,0,1
99,1,2,34,0,1,23,1,1
100,0,2,34,1,0,26,0,1
101,0,3,28,0,0,7.8958,1,1
102,0,3,,0,0,7.8958,0,1
104,0,3,33,0,0,8.6542,0,1
106,0,3,28,0,0,7.8958,0,1
107,1,3,21,0,0,7.65,1,1
110,1,3,,1,0,24.15,1,1
112,0,3,14.5,1,0,14.4542,1,1
115,0,3,17,0,0,14.4583,1,1
116,0,3,21,0,0,7.925,0,1
117,0,3,70.5,0,0,7.75,0,1
118,0,2,29,1,0,21,0,1
119,0,1,24,0,1,247.5208,0,1
120,0,3,2,4,2,31.275,1,1
122,0,3,,0,0,8.05,0,1
124,1,2,32.5,0,0,13,1,1
125,0,1,54,0,1,77.2875,0,1
126,1,3,12,1,0,11.2417,0,0
127,0,3,,0,0,7.75,0,1
128,1,3,24,0,0,7.1417,0,1
129,1,3,,1,1,22.3583,1,1
130,0,3,45,0,0,6.975,0,1
131,0,3,33,0,0,7.8958,0,0
132,0,3,20,0,0,7.05,0,1
133,0,3,47,1,0,14.5,1,1
134,1,2,29,1,0,26,1,1
137,1,1,19,0,2,26.2833,1,1
138,0,1,37,1,0,53.1,0,1
139,0,3,16,0,0,9.2167,0,1
142,1,3,22,0,0,7.75,1,1
144,0,3,19,0,0,6.75,0,1
145,0,2,18,0,0,11.5,0,1
148,0,3,9,2,2,34.375,1,1
150,0,2,42,0,0,13,0,0
152,1,1,22,1,0,66.6,1,1
156,0,1,51,0,1,61.3792,0,1
157,1,3,16,0,0,7.7333,1,1
161,0,3,44,0,1,16.1,0,1
162,1,2,40,0,0,15.75,1,1
163,0,3,26,0,0,7.775,0,1
165,0,3,1,4,1,39.6875,0,0
166,1,3,9,0,2,20.525,0,0
167,1,1,,0,1,55,1,1
170,0,3,28,0,0,56.4958,0,1
171,0,1,61,0,0,33.5,0,1
172,0,3,4,4,1,29.125,0,0
174,0,3,21,0,0,7.925,0,1
176,0,3,18,1,1,7.8542,0,1
177,0,3,,3,1,25.4667,0,0
178,0,1,50,0,0,28.7125,1,1
179,0,2,30,0,0,13,0,1
180,0,3,36,0,0,0,0,1
181,0,3,,8,2,69.55,1,1
183,0,3,9,4,2,31.3875,0,0
184,1,2,1,2,1,39,0,0
185,1,3,4,0,2,22.025,1,1
186,0,1,,0,0,50,0,1
187,1,3,,1,0,15.5,1,1
188,1,1,45,0,0,26.55,0,1
191,1,2,32,0,0,13,1,1
192,0,2,19,0,0,13,0,1
193,1,3,19,1,0,7.8542,1,1
195,1,1,44,0,0,27.7208,1,1
196,1,1,58,0,0,146.5208,1,1
199,1,3,,0,0,7.75,1,1
200,0,2,24,0,0,13,1,1
201,0,3,28,0,0,9.5,0,1
202,0,3,,8,2,69.55,0,1
203,0,3,34,0,0,6.4958,0,1
204,0,3,45.5,0,0,7.225,0,1
205,1,3,18,0,0,8.05,0,1
206,0,3,2,0,1,10.4625,1,1
207,0,3,32,1,0,15.85,0,1
209,1,3,16,0,0,7.75,1,1
210,1,1,40,0,0,31,0,1
211,0,3,24,0,0,7.05,0,1
212,1,2,35,0,0,21,1,1
214,0,2,30,0,0,13,0,1
215,0,3,,1,0,7.75,0,1
217,1,3,27,0,0,7.925,1,1
218,0,2,42,1,0,27,0,1
219,1,1,32,0,0,76.2917,1,1
220,0,2,30,0,0,10.5,0,1
222,0,2,27,0,0,13,0,1
223,0,3,51,0,0,8.05,0,1
224,0,3,,0,0,7.8958,0,1
226,0,3,22,0,0,9.35,0,1
227,1,2,19,0,0,10.5,0,1
229,0,2,18,0,0,13,0,1
231,1,1,35,1,0,83.475,1,1
233,0,2,59,0,0,13.5,0,1
234,1,3,5,4,2,31.3875,1,1
235,0,2,24,0,0,10.5,0,1
236,0,3,,0,0,7.55,1,1
237,0,2,44,1,0,26,0,1
238,1,2,8,0,2,26.25,1,0
239,0,2,19,0,0,10.5,0,1
240,0,2,33,0,0,12.275,0,1
241,0,3,,1,0,14.4542,1,1
242,1,3,,1,0,15.5,1,1
245,0,3,30,0,0,7.225,0,1
246,0,1,44,2,0,90,0,0
247,0,3,25,0,0,7.775,1,1
248,1,2,24,0,2,14.5,1,1
249,1,1,37,1,1,52.5542,0,1
251,0,3,,0,0,7.25,0,1
252,0,3,29,1,1,10.4625,1,1
254,0,3,30,1,0,16.1,0,1
255,0,3,41,0,2,20.2125,1,1
256,1,3,29,0,2,15.2458,1,1
258,1,1,30,0,0,86.5,1,1
260,1,2,50,0,1,26,1,1
261,0,3,,0,0,7.75,0,1
262,1,3,3,4,2,31.3875,0,0
263,0,1,52,1,1,79.65,0,1
264,0,1,40,0,0,0,0,1
265,0,3,,0,0,7.75,1,1
266,0,2,36,0,0,10.5,0,1
267,0,3,16,4,1,39.6875,0,1
268,1,3,25,1,0,7.775,0,1
269,1,1,58,0,1,153.4625,1,1
270,1,1,35,0,0,135.6333,1,1
271,0,1,,0,0,31,0,1
272,1,3,25,0,0,0,0,1
273,1,2,41,0,1,19.5,1,1
274,0,1,37,0,1,29.7,0,1
275,1,3,,0,0,7.75,1,1
276,1,1,63,1,0,77.9583,1,1
278,0,2,,0,0,0,0,1
279,0,3,7,4,1,29.125,0,0
280,1,3,35,1,1,20.25,1,1
281,0,3,65,0,0,7.75,0,1
282,0,3,28,0,0,7.8542,0,1
285,0,1,,0,0,26,0,1
287,1,3,30,0,0,9.5,0,1
288,0,3,22,0,0,7.8958,0,1
289,1,2,42,0,0,13,0,1
290,1,3,22,0,0,7.75,1,1
291,1,1,26,0,0,78.85,1,1
292,1,1,19,1,0,91.0792,1,1
293,0,2,36,0,0,12.875,0,1
294,0,3,24,0,0,8.85,1,1
296,0,1,,0,0,27.7208,0,1
297,0,3,23.5,0,0,7.2292,0,1
298,0,1,2,1,2,151.55,1,1
299,1,1,,0,0,30.5,0,1
302,1,3,,2,0,23.25,0,1
303,0,3,19,0,0,0,0,1
304,1,2,,0,0,12.35,1,1
306,1,1,0.92,1,2,151.55,0,0
307,1,1,,0,0,110.8833,1,1
308,1,1,17,1,0,108.9,1,1
309,0,2,30,1,0,24,0,1
310,1,1,30,0,0,56.9292,1,1
311,1,1,24,0,0,83.1583,1,1
312,1,1,18,2,2,262.375,1,1
313,0,2,26,1,1,26,1,1
314,0,3,28,0,0,7.8958,0,1
315,0,2,43,1,1,26.25,0,1
316,1,3,26,0,0,7.8542,1,1
317,1,2,24,1,0,26,1,1
318,0,2,54,0,0,14,0,0
321,0,3,22,0,0,7.25,0,1
322,0,3,27,0,0,7.8958,0,1
324,1,2,22,1,1,29,1,1
325,0,3,,8,2,69.55,0,1
326,1,1,36,0,0,135.6333,1,1
327,0,3,61,0,0,6.2375,0,1
328,1,2,36,0,0,13,1,1
329,1,3,31,1,1,20.525,1,1
330,1,1,16,0,1,57.9792,1,1
332,0,1,45.5,0,0,28.5,0,1
333,0,1,38,0,1,153.4625,0,1
336,0,3,,0,0,7.8958,0,1
341,1,2,2,1,1,26,0,0
342,1,1,24,3,2,263,1,1
343,0,2,28,0,0,13,0,0
345,0,2,36,0,0,13,0,1
346,1,2,24,0,0,13,1,1
349,1,3,3,1,1,15.9,0,0
350,0,3,42,0,0,8.6625,0,1
351,0,3,23,0,0,9.225,0,1
352,0,1,,0,0,35,0,1
353,0,3,15,1,1,7.2292,0,1
356,0,3,28,0,0,9.5,0,1
357,1,1,22,0,1,55,1,1
358,0,2,38,0,0,13,1,1
359,1,3,,0,0,7.8792,1,1
360,1,3,,0,0,7.8792,1,1
361,0,3,40,1,4,27.9,0,1
363,0,3,45,0,1,14.4542,1,1
364,0,3,35,0,0,7.05,0,1
367,1,1,60,1,0,75.25,1,1
368,1,3,,0,0,7.2292,1,1
369,1,3,,0,0,7.75,1,1
370,1,1,24,0,0,69.3,1,1
371,1,1,25,1,0,55.4417,0,1
372,0,3,18,1,0,6.4958,0,1
373,0,3,19,0,0,8.05,0,1
374,0,1,22,0,0,135.6333,0,1
376,1,1,,1,0,82.1708,1,1
377,1,3,22,0,0,7.25,1,1
378,0,1,27,0,2,211.5,0,1
379,0,3,20,0,0,4.0125,0,1
383,0,3,32,0,0,7.925,0,1
385,0,3,,0,0,7.8958,0,1
386,0,2,18,0,0,73.5,0,1
387,0,3,1,5,2,46.9,0,0
388,1,2,36,0,0,13,1,1
389,0,3,,0,0,7.7292,0,1
390,1,2,17,0,0,12,1,1
391,1,1,36,1,2,120,0,1
392,1,3,21,0,0,7.7958,0,1
393,0,3,28,2,0,7.925,0,1
396,0,3,22,0,0,7.7958,0,1
397,0,3,31,0,0,7.8542,1,1
398,0,2,46,0,0,26,0,1
399,0,2,23,0,0,10.5,0,0
400,1,2,28,0,0,12.65,1,1
403,0,3,21,1,0,9.825,1,1
407,0,3,51,0,0,7.75,0,1
408,1,2,3,1,1,18.75,0,0
409,0,3,21,0,0,7.775,0,1
410,0,3,,3,1,25.4667,1,1
412,0,3,,0,0,6.8583,0,1
413,1,1,33,1,0,90,1,1
414,0,2,,0,0,0,0,1
417,1,2,34,1,1,32.5,1,0
418,1,2,18,0,2,13,1,1
419,0,2,30,0,0,13,0,1
420,0,3,10,0,2,24.15,1,1
422,0,3,21,0,0,7.7333,0,1
423,0,3,29,0,0,7.875,0,1
424,0,3,28,1,1,14.4,1,1
425,0,3,18,1,1,20.2125,0,1
426,0,3,,0,0,7.25,0,1
427,1,2,28,1,0,26,1,1
428,1,2,19,0,0,26,1,1
429,0,3,,0,0,7.75,0,1
430,1,3,32,0,0,8.05,0,1
432,1,3,,1,0,16.1,1,1
434,0,3,17,0,0,7.125,0,1
435,0,1,50,1,0,55.9,0,1
436,1,1,14,1,2,120,1,1
438,1,2,24,2,3,18.75,1,1
441,1,2,45,1,1,26.25,1,1
443,0,3,25,1,0,7.775,0,1
444,1,2,28,0,0,13,1,1
445,1,3,,0,0,8.1125,0,1
447,1,2,13,0,1,19.5,1,1
448,1,1,34,0,0,26.55,0,1
449,1,3,5,2,1,19.2583,1,1
450,1,1,52,0,0,30.5,0,0
451,0,2,36,1,2,27.75,0,1
454,1,1,49,1,0,89.1042,0,1
455,0,3,,0,0,8.05,0,1
457,0,1,65,0,0,26.55,0,1
458,1,1,,1,0,51.8625,1,1
460,0,3,,0,0,7.75,0,1
463,0,1,47,0,0,38.5,0,1
465,0,3,,0,0,8.05,0,1
467,0,2,,0,0,0,0,1
468,0,1,56,0,0,26.55,0,1
470,1,3,0.75,2,1,19.2583,1,1
471,0,3,,0,0,7.25,0,1
472,0,3,38,0,0,8.6625,0,1
473,1,2,33,1,2,27.75,1,1
476,0,1,,0,0,52,0,1
477,0,2,34,1,0,21,0,1
479,0,3,22,0,0,7.5208,0,1
481,0,3,9,5,2,46.9,0,0
483,0,3,50,0,0,8.05,0,1
484,1,3,63,0,0,9.5875,1,1
485,1,1,25,1,0,91.0792,0,1
486,0,3,,3,1,25.4667,1,1
487,1,1,35,1,0,90,1,1
488,0,1,58,0,0,29.7,0,1
489,0,3,30,0,0,8.05,0,1
490,1,3,9,1,1,15.9,0,0
491,0,3,,1,0,19.9667,0,1
493,0,1,55,0,0,30.5,0,1
495,0,3,21,0,0,8.05,0,1
496,0,3,,0,0,14.4583,0,1
497,1,1,54,1,0,78.2667,1,1
499,0,1,25,1,2,151.55,1,1
503,0,3,,0,0,7.6292,1,1
505,1,1,16,0,0,86.5,1,1
507,1,2,33,0,2,26,1,1
508,1,1,,0,0,26.55,0,1
510,1,3,26,0,0,56.4958,0,1
511,1,3,29,0,0,7.75,0,1
512,0,3,,0,0,8.05,0,1
514,1,1,54,1,0,59.4,1,1
516,0,1,47,0,0,34.0208,0,1
517,1,2,34,0,0,10.5,1,1
522,0,3,22,0,0,7.8958,0,1
525,0,3,,0,0,7.2292,0,1
526,0,3,40.5,0,0,7.75,0,1
528,0,1,,0,0,221.7792,0,1
529,0,3,39,0,0,7.925,0,1
532,0,3,,0,0,7.2292,0,1
533,0,3,17,1,1,7.2292,0,1
534,1,3,,0,2,22.3583,1,1
536,1,2,7,0,2,26.25,1,1
537,0,1,45,0,0,26.55,0,0
538,1,1,30,0,0,106.425,1,1
539,0,3,,0,0,14.5,0,1
540,1,1,22,0,2,49.5,1,1
541,1,1,36,0,2,71,1,1
542,0,3,9,4,2,31.275,1,1
543,0,3,11,4,2,31.275,1,1
544,1,2,32,1,0,26,0,1
545,0,1,50,1,0,106.425,0,0
546,0,1,64,0,0,26,0,1
547,1,2,19,1,0,26,1,1
548,1,2,,0,0,13.8625,0,1
549,0,3,33,1,1,20.525,0,1
550,1,2,8,1,1,36.75,0,0
551,1,1,17,0,2,110.8833,0,1
552,0,2,27,0,0,26,0,1
553,0,3,,0,0,7.8292,0,1
554,1,3,22,0,0,7.225,0,1
556,0,1,62,0,0,26.55,0,1
557,1,1,48,1,0,39.6,1,1
559,1,1,39,1,1,79.65,1,1
560,1,3,36,1,0,17.4,1,1
561,0,3,,0,0,7.75,0,1
563,0,2,28,0,0,13.5,0,1
564,0,3,,0,0,8.05,0,1
565,0,3,,0,0,8.05,1,1
566,0,3,24,2,0,24.15,0,1
569,0,3,,0,0,7.2292,0,1
570,1,3,32,0,0,7.8542,0,1
571,1,2,62,0,0,10.5,0,1
572,1,1,53,2,0,51.4792,1,1
573,1,1,36,0,0,26.3875,0,1
574,1,3,,0,0,7.75,1,1
575,0,3,16,0,0,8.05,0,1
576,0,3,19,0,0,14.5,0,1
578,1,1,39,1,0,55.9,1,1
579,0,3,,1,0,14.4583,1,1
580,1,3,32,0,0,7.925,0,1
582,1,1,39,1,1,110.8833,1,1
583,0,2,54,0,0,26,0,1
584,0,1,36,0,0,40.125,0,1
585,0,3,,0,0,8.7125,0,1
586,1,1,18,0,2,79.65,1,1
587,0,2,47,0,0,15,0,1
588,1,1,60,1,1,79.2,0,1
589,0,3,22,0,0,8.05,0,1
591,0,3,35,0,0,7.125,0,1
592,1,1,52,1,0,78.2667,1,1
594,0,3,,0,2,7.75,1,1
595,0,2,37,1,0,26,0,1
596,0,3,36,1,1,24.15,0,1
597,1,2,,0,0,33,1,1
599,0,3,,0,0,7.225,0,1
600,1,1,49,1,0,56.9292,0,1
602,0,3,,0,0,7.8958,0,1
604,0,3,44,0,0,8.05,0,1
605,1,1,35,0,0,26.55,0,1
606,0,3,36,1,0,15.55,0,1
607,0,3,30,0,0,7.8958,0,1
608,1,1,27,0,0,30.5,0,1
609,1,2,22,1,2,41.5792,1,1
610,1,1,40,0,0,153.4625,1,1
612,0,3,,0,0,7.05,0,1
613,1,3,,1,0,15.5,1,1
614,0,3,,0,0,7.75,0,1
616,1,2,24,1,2,65,1,1
617,0,3,34,1,1,14.4,0,1
618,0,3,26,1,0,16.1,1,1
619,1,2,4,2,1,39,1,1
620,0,2,26,0,0,10.5,0,1
622,1,1,42,1,0,52.5542,0,1
623,1,3,20,1,1,15.7417,0,1
625,0,3,21,0,0,16.1,0,1
626,0,1,61,0,0,32.3208,0,1
627,0,2,57,0,0,12.35,0,0
630,0,3,,0,0,7.7333,0,1
631,1,1,80,0,0,30,0,1
632,0,3,51,0,0,7.0542,0,1
636,1,2,28,0,0,13,1,1
638,0,2,31,1,1,26.25,0,0
640,0,3,,1,0,16.1,0,1
641,0,3,20,0,0,7.8542,0,1
642,1,1,24,0,0,69.3,1,1
643,0,3,2,3,2,27.9,1,1
644,1,3,,0,0,56.4958,0,1
645,1,3,0.75,2,1,19.2583,1,1
648,1,1,56,0,0,35.5,0,0
649,0,3,,0,0,7.55,0,1
651,0,3,,0,0,7.8958,0,1
653,0,3,21,0,0,8.4333,0,1
657,0,3,,0,0,7.8958,0,1
658,0,3,32,1,1,15.5,1,1
660,0,1,58,0,2,113.275,0,1
662,0,3,40,0,0,7.225,0,1
663,0,1,47,0,0,25.5875,0,0
664,0,3,36,0,0,7.4958,0,0
665,1,3,20,1,0,7.925,0,1
666,0,2,32,2,0,73.5,0,1
668,0,3,,0,0,7.775,0,1
671,1,2,40,1,1,39,1,1
672,0,1,31,1,0,52,0,1
673,0,2,70,0,0,10.5,0,1
674,1,2,31,0,0,13,0,1
675,0,2,,0,0,0,0,1
676,0,3,18,0,0,7.775,0,1
677,0,3,24.5,0,0,8.05,0,1
678,1,3,18,0,0,9.8417,1,1
680,1,1,36,0,1,512.3292,0,0
681,0,3,,0,0,8.1375,1,1
682,1,1,27,0,0,76.7292,0,1
686,0,2,25,1,2,41.5792,0,1
688,0,3,19,0,0,10.1708,0,1
691,1,1,31,1,0,57,0,1
692,1,3,4,0,1,13.4167,1,1
693,1,3,,0,0,56.4958,0,1
694,0,3,25,0,0,7.225,0,1
695,0,1,60,0,0,26.55,0,0
696,0,2,52,0,0,13.5,0,1
698,1,3,,0,0,7.7333,1,1
699,0,1,49,1,1,110.8833,0,1
700,0,3,42,0,0,7.65,0,1
705,0,3,26,1,0,7.8542,0,1
706,0,2,39,0,0,26,0,1
708,1,1,42,0,0,26.2875,0,1
709,1,1,22,0,0,151.55,1,1
710,1,3,,1,1,15.2458,0,0
711,1,1,24,0,0,49.5042,1,1
712,0,1,,0,0,26.55,0,1
713,1,1,48,1,0,52,0,1
714,0,3,29,0,0,9.4833,0,1
715,0,2,52,0,0,13,0,1
716,0,3,19,0,0,7.65,0,1
718,1,2,27,0,0,10.5,1,1
723,0,2,34,0,0,13,0,1
724,0,2,50,0,0,13,0,1
727,1,2,30,3,0,21,1,1
728,1,3,,0,0,7.7375,1,1
730,0,3,25,1,0,7.925,1,1
731,1,1,29,0,0,211.3375,1,1
732,0,3,11,0,0,18.7875,0,1
733,0,2,,0,0,0,0,1
734,0,2,23,0,0,13,0,1
737,0,3,48,1,3,34.375,1,1
738,1,1,35,0,0,512.3292,0,1
739,0,3,,0,0,7.8958,0,1
740,0,3,,0,0,7.8958,0,1
742,0,1,36,1,0,78.85,0,1
743,1,1,21,2,2,262.375,1,1
744,0,3,24,1,0,16.1,0,1
747,0,3,16,1,1,20.25,0,1
748,1,2,30,0,0,13,1,1
749,0,1,19,1,0,53.1,0,1
750,0,3,31,0,0,7.75,0,1
755,1,2,48,1,2,65,1,1
756,1,2,0.67,1,1,14.5,0,0
757,0,3,28,0,0,7.7958,0,1
759,0,3,34,0,0,8.05,0,1
760,1,1,33,0,0,86.5,1,0
761,0,3,,0,0,14.5,0,1
762,0,3,41,0,0,7.125,0,1
764,1,1,36,1,2,120,1,1
765,0,3,16,0,0,7.775,0,1
766,1,1,51,1,0,77.9583,1,1
767,0,1,,0,0,39.6,0,0
768,0,3,30.5,0,0,7.75,1,1
769,0,3,,1,0,24.15,0,1
770,0,3,32,0,0,8.3625,0,1
771,0,3,24,0,0,9.5,0,1
776,0,3,18,0,0,7.75,0,1
777,0,3,,0,0,7.75,0,1
779,0,3,,0,0,7.7375,0,1
781,1,3,13,0,0,7.2292,1,1
782,1,1,17,1,0,57,1,1
783,0,1,29,0,0,30,0,1
784,0,3,,1,2,23.45,0,1
785,0,3,25,0,0,7.05,0,1
787,1,3,18,0,0,7.4958,1,1
788,0,3,8,4,1,29.125,0,0
789,1,3,1,1,2,20.575,0,0
791,0,3,,0,0,7.75,0,1
792,0,2,16,0,0,26,0,1
794,0,1,,0,0,30.6958,0,1
795,0,3,25,0,0,7.8958,0,1
796,0,2,39,0,0,13,0,1
799,0,3,30,0,0,7.2292,0,1
800,0,3,30,1,1,24.15,1,1
801,0,2,34,0,0,13,0,1
803,1,1,11,1,2,120,0,0
804,1,3,0.42,0,1,8.5167,0,0
806,0,3,31,0,0,7.775,0,1
807,0,1,39,0,0,0,0,1
808,0,3,18,0,0,7.775,1,1
809,0,2,39,0,0,13,0,1
810,1,1,33,1,0,53.1,1,1
811,0,3,26,0,0,7.8875,0,1
812,0,3,39,0,0,24.15,0,1
814,0,3,6,4,2,31.275,1,1
815,0,3,30.5,0,0,8.05,0,1
816,0,1,,0,0,0,0,1
817,0,3,23,0,0,7.925,1,1
818,0,2,31,1,1,37.0042,0,1
819,0,3,43,0,0,6.45,0,1
820,0,3,10,3,2,27.9,0,0
823,0,1,38,0,0,0,0,0
825,0,3,2,4,1,39.6875,0,0
826,0,3,,0,0,6.95,0,1
828,1,2,1,0,2,37.0042,0,0
830,1,1,62,0,0,80,1,1
832,1,2,0.83,1,1,18.75,0,0
833,0,3,,0,0,7.2292,0,1
834,0,3,23,0,0,7.8542,0,1
835,0,3,18,0,0,8.3,0,1
836,1,1,39,1,1,83.1583,1,1
837,0,3,21,0,0,8.6625,0,1
838,0,3,,0,0,8.05,0,1
840,1,1,,0,0,29.7,0,1
841,0,3,20,0,0,7.925,0,1
843,1,1,30,0,0,31,1,1
844,0,3,34.5,0,0,6.4375,0,1
847,0,3,,8,2,69.55,0,1
849,0,2,28,0,1,33,0,0
850,1,1,,1,0,89.1042,1,1
851,0,3,4,4,2,31.275,0,0
852,0,3,74,0,0,7.775,0,1
853,0,3,9,1,1,15.2458,1,1
855,0,2,44,1,0,26,1,1
857,1,1,45,1,1,164.8667,1,1
859,1,3,24,0,3,19.2583,1,1
860,0,3,,0,0,7.2292,0,1
861,0,3,41,2,0,14.1083,0,1
864,0,3,,8,2,69.55,1,1
867,1,2,27,1,0,13.8583,1,1
869,0,3,,0,0,9.5,0,1
870,1,3,4,1,1,11.1333,0,0
871,0,3,26,0,0,7.8958,0,1
872,1,1,47,1,1,52.5542,1,1
873,0,1,33,0,0,5,0,1
874,0,3,47,0,0,9,0,1
875,1,2,28,1,0,24,1,1
876,1,3,15,0,0,7.225,1,1
877,0,3,20,0,0,9.8458,0,1
878,0,3,19,0,0,7.8958,0,1
881,1,2,25,0,1,26,1,1
882,0,3,33,0,0,7.8958,0,1
884,0,2,28,0,0,10.5,0,1
887,0,2,27,0,0,13,0,0
888,1,1,19,0,0,30,1,1
889,0,3,,1,2,23.45,1,1
890,1,1,26,0,0,30,0,1
891,0,3,32,0,0,7.75,0,1
